branches,chunk_size,compressor,mode,nthreads,quality,decomp_file,input_file,iterations,results_file,tree,abs_error_avg,abs_error_max,compressed_size_bytes,compression_ratio,compression_throughput_mbps,decompression_throughput_mbps,ks_p_value,ks_statistic,mse,original_size_bytes,psnr,q50_shift,q5_shift,q95_shift,q99_shift,rel_error_avg,rel_error_max,wasserstein_distance,host,timestamp,absErrorBound,blockSize,cmprAlgo,errorBoundMode,interpAlgo,interpAlpha,interpAnchorStride,interpBeta,interpDirection,l2normErrorBound,lorenzo,lorenzo2,openmp,psnrErrorBound,quantbinCnt,regression,regression2,relErrorBound,compressionLevel,truncBits,nrmse
AnalysisJetsAuxDyn.pt,1024,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3393.8505859375,39077.58203125,1038651,10.239716529846191,6.245316505432129,73.8725357055664,0.0,0.2868602573871612,18433070.0,10635492,48.35922622680664,3510.916015625,1872.943359375,260.94921875,311.515625,0.1860169023275375,2.1541852951049805,2170.770263671875,x1000c0s0b1n0,2026-02-19 21:46:18,,,,,,,,,,,,,,,,,,,,,0.0038197827750200823
AnalysisJetsAuxDyn.pt,2048,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3382.656005859375,31185.73828125,851703,12.487324714660645,11.356554985046388,81.8229751586914,0.0,0.3077070713043213,18132996.0,10635492,48.430511474609375,3572.69921875,1647.62109375,251.91796875,228.625,0.1852583736181259,1.974204659461975,2245.902587890625,x1000c0s0b1n0,2026-02-19 21:46:29,,,,,,,,,,,,,,,,,,,,,0.00378856386499588
AnalysisJetsAuxDyn.pt,4096,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3389.177001953125,32229.96484375,758211,14.027087211608888,19.24355697631836,87.69364929199219,0.0,0.3270686864852905,17930090.0,10635492,48.4793815612793,3558.732421875,1857.697265625,42.96484375,282.6015625,0.185535728931427,1.8557978868484497,2347.147705078125,x1000c0s0b1n0,2026-02-19 21:46:36,,,,,,,,,,,,,,,,,,,,,0.003767307451181232
AnalysisJetsAuxDyn.pt,8192,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3396.808349609375,29136.62109375,711483,14.94834327697754,56.18503952026367,91.39153289794922,0.0,0.3398762941360473,17937834.0,10635492,48.477500915527344,3581.373046875,2016.568359375,13.31640625,279.203125,0.1870412677526474,1.8377262353897093,2416.052490234375,x1000c0s0b1n0,2026-02-19 21:46:40,,,,,,,,,,,,,,,,,,,,,0.0037681209127845656
AnalysisJetsAuxDyn.pt,16384,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3381.517578125,24453.66796875,688119,15.455890655517578,59.1712646484375,95.4395523071289,0.0,0.349097192287445,17962062.0,10635492,48.471641540527344,3605.7578125,1828.8251953125,91.31640625,257.4609375,0.1865263879299163,1.7267450094223022,2382.326416015625,x1000c0s0b1n0,2026-02-19 21:46:43,,,,,,,,,,,,,,,,,,,,,0.0037706647881311554
AnalysisJetsAuxDyn.pt,32768,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3373.551513671875,25620.87890625,676419,15.723230361938477,61.52404022216797,98.58223724365234,0.0,0.3551312983036041,17868824.0,10635492,48.49424362182617,3600.66796875,1640.009765625,10.12890625,473.5,0.1853727102279663,1.7223725318908691,2357.833740234375,x1000c0s0b1n0,2026-02-19 21:46:47,,,,,,,,,,,,,,,,,,,,,0.003760865616257639
AnalysisJetsAuxDyn.pt,65536,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3374.91357421875,17938.11328125,670587,15.859972953796388,63.04721832275391,100.35062408447266,0.0,0.3639955818653106,17667838.0,10635492,48.54337310791016,3640.3203125,1736.677734375,443.9921875,373.0703125,0.1842528879642486,1.859978556632996,2423.187744140625,x1000c0s0b1n0,2026-02-19 21:46:50,,,,,,,,,,,,,,,,,,,,,0.003739654962251685
AnalysisJetsAuxDyn.pt,131072,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3380.03271484375,24659.65625,667671,15.929240226745604,63.531829833984375,101.89068603515624,0.0,0.3664124011993408,17751258.0,10635492,48.522911071777344,3652.576171875,1787.5888671875,434.96875,485.4765625,0.184899628162384,1.8608866930007932,2447.607421875,x1000c0s0b1n0,2026-02-19 21:46:53,,,,,,,,,,,,,,,,,,,,,0.0037484730939837145
AnalysisJetsAuxDyn.pt,262144,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3361.500732421875,17729.501953125,666195,15.964532852172852,63.04557418823242,103.27955627441406,0.0,0.3708808422088623,17888390.0,10635492,48.4894905090332,3638.046875,1329.9931640625,222.359375,1282.125,0.1850169748067855,1.7359719276428225,2399.177490234375,x1000c0s0b1n0,2026-02-19 21:46:56,,,,,,,,,,,,,,,,,,,,,0.0037629240887156285
AnalysisJetsAuxDyn.pt,524288,sperr,bpp,0.0,2.0,,DAOD_PHYSLITE.37019878._000009.pool.root.1,10,/eagle/UIC-HPC/amy/sperr-sweep.20260219_214525/results.jsonl,CollectionTree,3325.55615234375,17361.71875,665475,15.981805801391602,64.1056900024414,105.3252944946289,0.0,0.3700582981109619,17635288.0,10635492,48.55137634277344,3646.904296875,929.513671875,1135.703125,2082.8203125,0.181287869811058,1.7380179166793823,2377.708740234375,x1000c0s0b1n0,2026-02-19 21:46:59,,,,,,,,,,,,,,,,,,,,,0.0037362085336194585
